feature_name,-label=ALL,-label=test,-label=train,pvalue
age,66.75±9.87,68.36±10.16,66.04±9.70,0.07845374399755559
gender,,,,1.0
0,64(38.79),19(38.00),45(39.13),
1,101(61.21),31(62.00),70(60.87),
T,,,,0.13826170649922848
0,5(3.03),3(6.00),2(1.74),
1,33(20.00),14(28.00),19(16.52),
2,85(51.52),22(44.00),63(54.78),
3,42(25.45),11(22.00),31(26.96),
N,,,,0.6533318506921655
0,63(38.18),20(40.00),43(37.39),
1,38(23.03),13(26.00),25(21.74),
2,35(21.21),11(22.00),24(20.87),
3,29(17.58),6(12.00),23(20.00),
M,,,,0.706554704973288
0,155(93.94),48(96.00),107(93.04),
1,10(6.06),2(4.00),8(6.96),
Lauren_classification,,,,1.0
0,131(79.39),40(80.00),91(79.13),
1,34(20.61),10(20.00),24(20.87),
Location,,,,0.38733793904453395
0,99(60.00),33(66.00),66(57.39),
1,66(40.00),17(34.00),49(42.61),
